종목명,코드,상세정보,20.06.02,20.06.03,20.06.04
대창솔루션,096350,https://finance.naver.com/item/main.nhn?code=096350,"+27.87% / 117,349,810","+30.00% / 111,096,849(95%)","0.00% / 70,351,533(60%)"
엘비세미콘,061970,https://finance.naver.com/item/main.nhn?code=061970,"+15.94% / 51,659,642","+1.59% / 15,517,222(30%)","+6.04% / 37,092,065(72%)"
큐브엔터,182360,https://finance.naver.com/item/main.nhn?code=182360,"+8.63% / 45,068,258","-6.94% / 4,872,618(11%)","-0.48% / 1,451,008(3%)"
KNN,058400,https://finance.naver.com/item/main.nhn?code=058400,"-0.89% / 43,376,835","-5.11% / 13,163,633(30%)","-1.27% / 9,267,209(21%)"
팜스토리,027710,https://finance.naver.com/item/main.nhn?code=027710,"+3.07% / 31,996,724","-5.58% / 5,277,483(16%)","+1.97% / 7,576,109(24%)"
자연과환경,043910,https://finance.naver.com/item/main.nhn?code=043910,"+2.70% / 28,783,029","-1.17% / 4,741,722(16%)","-0.30% / 2,386,380(8%)"
에스모,073070,https://finance.naver.com/item/main.nhn?code=073070,"+6.91% / 23,774,378","+0.68% / 7,805,645(33%)","-3.21% / 5,243,197(22%)"
우리손에프앤지,073560,https://finance.naver.com/item/main.nhn?code=073560,"0.00% / 23,730,692","-4.18% / 5,171,717(22%)","+0.22% / 3,879,177(16%)"
오리엔탈정공,014940,https://finance.naver.com/item/main.nhn?code=014940,"+29.69% / 18,531,947","+20.66% / 32,996,954(178%)","-6.85% / 6,164,483(33%)"
미스터블루,207760,https://finance.naver.com/item/main.nhn?code=207760,"+29.90% / 18,386,476","-5.19% / 13,862,961(75%)","+0.50% / 3,906,179(21%)"
코디엠,224060,https://finance.naver.com/item/main.nhn?code=224060,"+2.84% / 17,990,322","-3.77% / 12,945,821(72%)","-2.35% / 8,185,545(45%)"
차바이오텍,085660,https://finance.naver.com/item/main.nhn?code=085660,"+30.00% / 17,527,263","-19.14% / 12,527,949(71%)","+6.03% / 6,285,769(36%)"
에이비프로바이오,195990,https://finance.naver.com/item/main.nhn?code=195990,"-2.89% / 15,730,892","-4.60% / 22,120,972(141%)","+1.28% / 16,743,605(106%)"
빅텍,065450,https://finance.naver.com/item/main.nhn?code=065450,"+1.19% / 13,690,400","-6.24% / 7,155,790(52%)","+0.88% / 15,215,197(111%)"
CMG제약,058820,https://finance.naver.com/item/main.nhn?code=058820,"+7.05% / 13,663,274","-5.69% / 4,658,472(34%)","+0.47% / 2,404,845(18%)"
우리기술투자,041190,https://finance.naver.com/item/main.nhn?code=041190,"+5.91% / 13,588,864","-4.47% / 3,729,761(27%)","-0.17% / 1,501,268(11%)"
좋은사람들,033340,https://finance.naver.com/item/main.nhn?code=033340,"+7.17% / 12,567,854","-0.61% / 3,919,582(31%)","+1.22% / 5,396,944(43%)"
에이치엘비파워,043220,https://finance.naver.com/item/main.nhn?code=043220,"+1.67% / 11,820,947","0.00% / 4,069,194(34%)","-4.61% / 4,360,944(37%)"
아이즈비전,031310,https://finance.naver.com/item/main.nhn?code=031310,"+0.79% / 11,392,581","+1.12% / 5,658,070(50%)","-3.23% / 1,007,668(9%)"
두올산업,078590,https://finance.naver.com/item/main.nhn?code=078590,"+14.29% / 10,842,357","+0.73% / 5,702,309(53%)","+0.48% / 1,637,909(15%)"
에스맥,097780,https://finance.naver.com/item/main.nhn?code=097780,"-1.02% / 10,737,642","-1.38% / 13,819,117(129%)","-3.50% / 17,577,628(164%)"
한일사료,005860,https://finance.naver.com/item/main.nhn?code=005860,"+5.04% / 10,132,476","-4.32% / 2,719,094(27%)","+0.75% / 4,769,319(47%)"
토박스코리아,215480,https://finance.naver.com/item/main.nhn?code=215480,"+4.15% / 10,110,388","-2.39% / 3,039,592(30%)","+5.31% / 5,157,434(51%)"
